City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
325,Salinopolis,BR,-0.6136,-47.3561,80.82,75,64,12.77,broken clouds
326,Tommot,RU,58.9564,126.2925,23.32,96,100,5.17,overcast clouds
327,Burns Lake,CA,54.2331,-125.7533,64.24,42,67,4.29,broken clouds
328,Pacific Grove,US,36.6177,-121.9166,79.39,69,0,8.05,clear sky
329,Ust-Omchug,RU,61.15,149.6333,-0.6,97,98,6.13,overcast clouds
330,El Prat De Llobregat,ES,41.3278,2.0947,74.14,92,75,5.75,broken clouds
331,Nizhniy Tsasuchey,RU,50.5167,115.1333,26.13,50,0,3.65,clear sky
332,Lakeville,US,44.6497,-93.2427,39.15,44,40,14.97,scattered clouds
333,Fethiye,TR,36.6217,29.1164,73.27,65,100,8.95,overcast clouds
334,Ternate,ID,0.8,127.4,80.71,82,98,4.12,overcast clouds
335,Klaksvik,FO,62.2266,-6.589,43.72,84,100,25.84,overcast clouds
336,Sur,OM,22.5667,59.5289,79.07,41,95,7.76,overcast clouds
337,Ilulissat,GL,69.2167,-51.1,35.62,93,100,5.75,overcast clouds
338,Kamyzyak,RU,46.11,48.0736,40.98,87,40,2.24,scattered clouds
339,Mahenge,TZ,-8.6833,36.7167,63.75,68,1,4.81,clear sky
340,Salalah,OM,17.0151,54.0924,78.89,44,0,4.61,clear sky
341,Krasnovishersk,RU,60.4078,57.082,41.9,85,100,9.4,overcast clouds
342,Hay River,CA,60.8156,-115.7999,55.72,50,0,9.01,clear sky
343,Carutapera,BR,-1.195,-46.02,80.31,75,20,9.8,few clouds
344,Sinnamary,GF,5.3833,-52.95,81.21,79,7,10.02,clear sky
